iter	Passed	Remaining
0	198	198742
1	241	120646
2	269	89633
3	292	72852
4	315	62819
5	338	56081
6	361	51261
7	384	47702
8	407	44844
9	429	42557
10	452	40716
11	476	39216
12	498	37840
13	521	36713
14	544	35752
15	566	34862
16	589	34066
17	611	33351
18	634	32771
19	656	32170
20	679	31669
21	701	31203
22	726	30865
23	753	30656
24	775	30257
25	799	29933
26	821	29607
27	845	29337
28	870	29145
29	899	29097
30	921	28818
31	943	28534
32	966	28329
33	989	28104
34	1010	27866
35	1033	27679
36	1055	27458
37	1077	27273
38	1099	27103
39	1122	26939
40	1144	26767
41	1166	26605
42	1188	26444
43	1210	26307
44	1233	26171
45	1253	26004
46	1273	25828
47	1296	25705
48	1317	25568
49	1338	25432
50	1361	25340
51	1382	25212
52	1405	25111
53	1426	24982
54	1447	24873
55	1469	24771
56	1490	24663
57	1511	24547
58	1532	24434
59	1551	24311
60	1572	24205
61	1594	24117
62	1614	24014
63	1636	23928
64	1655	23816
65	1678	23751
66	1700	23676
67	1722	23612
68	1742	23508
69	1764	23445
70	1785	23356
71	1807	23296
72	1827	23210
73	1849	23147
74	1872	23094
75	1893	23018
76	1914	22954
77	1937	22899
78	1956	22814
79	1977	22739
80	1995	22644
81	2015	22564
82	2036	22502
83	2055	22417
84	2078	22369
85	2100	22320
86	2120	22258
87	2142	22199
88	2161	22126
89	2184	22086
90	2204	22025
91	2225	21969
92	2245	21902
93	2268	21865
94	2295	21872
95	2321	21864
96	2350	21877
97	2374	21851
98	2399	21835
99	2425	21831
100	2451	21823
101	2476	21805
102	2502	21794
103	2528	21779
104	2553	21769
105	2579	21759
106	2607	21761
107	2630	21729
108	2655	21708
109	2684	21719
110	2711	21716
111	2736	21700
112	2764	21702
113	2802	21781
114	2827	21759
115	2859	21793
116	2886	21783
117	2908	21738
118	2933	21718
119	2957	21687
120	2982	21669
121	3007	21646
122	3034	21638
123	3059	21611
124	3080	21566
125	3107	21554
126	3135	21552
127	3164	21555
128	3191	21546
129	3213	21506
130	3238	21481
131	3265	21472
132	3292	21460
133	3315	21424
134	3344	21427
135	3368	21402
136	3392	21372
137	3421	21374
138	3449	21365
139	3477	21359
140	3507	21370
141	3542	21405
142	3575	21430
143	3605	21430
144	3627	21389
145	3663	21429
146	3688	21401
147	3713	21376
148	3737	21345
149	3769	21358
150	3795	21342
151	3822	21324
152	3849	21310
153	3874	21285
154	3898	21252
155	3918	21200
156	3939	21153
157	3959	21099
158	3982	21064
159	4016	21086
160	4044	21075
161	4072	21065
162	4098	21045
163	4125	21027
164	4152	21012
165	4177	20990
166	4203	20965
167	4229	20943
168	4261	20953
169	4286	20927
170	4316	20925
171	4348	20932
172	4375	20917
173	4408	20926
174	4436	20912
175	4461	20889
176	4490	20877
177	4512	20839
178	4536	20806
179	4561	20778
180	4586	20752
181	4616	20750
182	4644	20736
183	4670	20712
184	4691	20669
185	4722	20667
186	4753	20664
187	4777	20636
188	4805	20619
189	4829	20587
190	4859	20583
191	4886	20564
192	4910	20530
193	4938	20519
194	4967	20508
195	4992	20480
196	5018	20457
197	5046	20441
198	5072	20418
199	5099	20397
200	5138	20424
201	5167	20415
202	5194	20396
203	5223	20382
204	5251	20366
205	5275	20335
206	5304	20322
207	5329	20292
208	5354	20265
209	5378	20233
210	5402	20199
211	5426	20171
212	5452	20147
